,age_upon_outcome,animal_id,animal_type,breed,color,date_of_birth,datetime,monthyear,outcome_subtype,outcome_type,sex_upon_outcome,location_lat,location_long,age_upon_outcome_in_weeks,name,breed_id,Chip_ID
1.0,3 years,A746874,Cat,Domestic Shorthair Mix,Black/White,2014-04-10,4/11/2017 9:00,2017-04-11T09:00:00,SCRP,Transfer,Neutered Male,30.50665787,-97.34087807,156.7678571,,,
2.0,1 year,A725717,Cat,Domestic Shorthair Mix,Silver Tabby,2015-05-02,5/6/2016 10:49,2016-05-06T10:49:00,SCRP,Transfer,Spayed Female,30.65259846,-97.74199635,52.92152778,,,
3.0,2 years,A716330,Dog,Chihuahua Shorthair Mix,Brown/White,2013-11-18,12/28/2015 18:43,2015-12-28T18:43:00,,Adoption,Neutered Male,30.75957481,-97.55237538,110.1114087,Frank,,
4.0,7 months,A733653,Cat,Siamese Mix,Seal Point,2016-01-25,8/27/2016 18:11,2016-08-27T18:11:00,,Adoption,Intact Female,30.31880634,-97.72403767,30.82251984,Kitty,,
5.0,2 years,A691584,Dog,Labrador Retriever Mix,Tan/White,2012-11-06,5/30/2015 13:48,2015-05-30T13:48:00,,Return to Owner,Neutered Male,30.71048156,-97.56229744,133.6535714,Luke,,
6.0,5 years,A696004,Dog,Cardigan Welsh Corgi Mix,Sable/White,2010-01-27,1/28/2015 10:39,2015-01-28T10:39:00,Rabies Risk,Euthanasia,Spayed Female,30.67373659,-97.70797153,261.0633929,Lucy,,
7.0,2 years,A673830,Dog,Pit Bull Mix,Black/White,2012-03-03,3/19/2014 15:15,2014-03-19T15:15:00,Aggressive,Euthanasia,Neutered Male,30.29542566,-97.31366421,106.6622024,*Seth,,
8.0,1 year,A736551,Dog,Labrador Retriever/Australian Cattle Dog,Black,2015-10-12,11/27/2016 18:00,2016-11-27T18:00:00,,Adoption,Spayed Female,30.44432128,-97.73269803,58.96428571,*Mia,,
9.0,3 years,A720214,Dog,Labrador Retriever Mix,Red/White,2013-02-04,2/11/2016 12:41,2016-02-11T12:41:00,,Adoption,Spayed Female,30.38706482,-97.36843397,157.5040675,Blessing,,
10.0,3 months,A664290,Cat,Domestic Shorthair Mix,Tortie,2013-09-01,12/8/2013 14:58,2013-12-08T14:58:00,,Adoption,Spayed Female,30.75831055,-97.6182922,14.0890873,*Taylor,,
11.0,1 year,A721199,Dog,Dachshund Wirehair Mix,Tan/White,2015-02-23,2/27/2016 17:49,2016-02-27T17:49:00,,Adoption,Spayed Female,30.72902728,-97.37533282,52.8203373,Belle,,
12.0,1 year,A664843,Dog,Pit Bull Mix,Brown/White,2013-06-09,8/18/2014 17:24,2014-08-18T17:24:00,Partner,Transfer,Neutered Male,30.45155494,-97.47410451,62.24642857,Sherlock,,
13.0,1 year,A700408,Cat,Domestic Shorthair Mix,Brown Tabby/White,2014-04-13,4/15/2015 13:34,2015-04-15T13:34:00,,Return to Owner,Spayed Female,30.41011545,-97.56241567,52.5093254,Nyla,,
14.0,2 years,A742287,Dog,Boxer/Bullmastiff,Brown Brindle/White,2015-01-18,2/11/2017 12:30,2017-02-11T12:30:00,,Adoption,Neutered Male,30.45511486,-97.30877805,107.9315476,*Kawhi,,
15.0,3 years,A712638,Dog,Pit Bull Mix,Red/White,2012-09-26,7/18/2016 17:52,2016-07-18T17:52:00,Partner,Transfer,Neutered Male,30.57982992,-97.55884879,198.8206349,Marcus,,
16.0,5 years,A723742,Dog,Miniature Schnauzer Mix,Black/White,2011-04-05,4/10/2016 17:27,2016-04-10T17:27:00,,Adoption,Spayed Female,30.47928849,-97.40885316,261.8181548,Gretchen,,
17.0,6 months,A668960,Dog,Pit Bull Mix,Blue/White,2013-06-12,12/27/2013 16:56,2013-12-27T16:56:00,,Adoption,Spayed Female,30.59434108,-97.24899336,28.38650794,*Gigi,,
18.0,2 months,A693288,Cat,Domestic Shorthair Mix,Brown Tabby/White,2014-09-28,12/9/2014 18:36,2014-12-09T18:36:00,,Adoption,Spayed Female,30.45276783,-97.46205072,10.39642857,,,
19.0,4 months,A709511,Cat,Domestic Medium Hair Mix,White/Black,2015-07-10,11/13/2015 14:00,2015-11-13T14:00:00,Foster,Adoption,Neutered Male,30.52028775,-97.65742044,18.08333333,*Toad,,
